listing_page_no,avg_rating_count,avg_rating,product_count
1,11226.54705882353,4.277352941176471,340
2,8870.091743119267,4.346483180428135,327
3,5529.290734824282,4.3217252396166135,313
4,4179.0,4.309782608695652,276
5,4427.3984375,4.365625,256
6,4037.0875,4.31125,240
7,4201.127272727273,4.337272727272728,220
8,5361.602803738318,4.351401869158878,214
9,5238.192307692308,4.219230769230769,182
10,5990.843137254902,4.300653594771242,153
11,4356.741666666667,4.225,120
12,7347.565217391304,4.220652173913043,92
13,6332.640625,4.3375,64
14,15444.733333333334,4.355,60
15,7932.166666666667,4.316666666666666,60
16,9536.883333333333,4.323333333333333,60
17,8207.166666666666,4.276666666666667,60
18,7355.983333333334,4.118333333333333,60
19,9333.537037037036,4.3388888888888895,54
20,14067.35,4.0200000000000005,40
